Age,BMI-SDS Mean,Time Spent Gaming per day
05 years,0.4,None
07 years,0.4,None
11 years,0.6,None
14 years ,0.7,None
05 years,0.4,< 1 hour
07 years,0.4,< 1 hour
11 years,0.6,< 1 hour
14 years ,0.7,< 1 hour
05 years,0.5,1-3 Hours
07 years,0.5,1-3 Hours
11 years,0.7,1-3 Hours
14 years ,0.7,1-3 Hours
05 years,0.5,> 3 Hours
07 years,0.5,> 3 Hours
11 years,0.8,> 3 Hours
14 years ,0.7,> 3 Hours
05 years,0.4,Total Mean
07 years,0.4,Total Mean
11 years,0.7,Total Mean
14 years ,0.7,Total Mean
